text,category,urgency,template_group_id
Overhead water storage tank on Block C roof is overflowing down the exterior wall.,Plumbing,Medium,T_PLM_015
Sanitary vending machine in female facility is empty and jammed.,Facilities,Medium,T_FAC_014
Laboratory manual for Microprocessors contains outdated and conflicting circuit diagrams.,Academic,Low,T_ACD_007
Unidentified person without visitor badge wandering inside student dormitories.,Safety,High,T_SAF_014
Tuition fee refund request for duplicate transaction has been delayed over four weeks.,Administration,Medium,T_ADM_001
University transport mobile application has been failing to transmit live GPS location.,Transport,Low,T_TRN_008
Fee breakdown receipt statement omits laboratory fee component several people have pointed this out.,Administration,Low,T_ADM_017
Aggressive stray dog entered the campus perimeter near the sports ground for the past two days.,Safety,Medium,T_SAF_004
Unattended suspicious package left abandoned near the main entrance lobby.,Safety,Critical,T_SAF_007
Medical clinic biohazard waste container left unsealed in common reception.,Cleanliness,High,T_CLN_010
Graduation clearance portal is rejecting attested valid degree documentation.,Administration,High,T_ADM_014
Overhead lighting fixtures in ground floor corridor are dead leaving area dark.,Electrical,Medium,T_ELC_015
Hot water heater system in student residential hostel has been completely cold.,Plumbing,Low,T_PLM_006
Pungent gas leak smell detected near the chemical storage depot which is affecting normal activities.,Safety,Critical,T_SAF_010
Bus timetable posted on campus board contradicts the digital schedule affecting people in the area.,Transport,Low,T_TRN_020
Zero water pressure discharging from faucets in chemical engineering lab this has been ongoing since last week.,Plumbing,Medium,T_PLM_004
There has been thick smoke coming from an electrical panel near Block A ground floor.,Safety,Critical,T_SAF_001
Urinal drains in ground floor male restroom blocked and emitting stench reported earlier today.,Cleanliness,High,T_CLN_020
Central heating in dormitory blocks during cold weather is non-functional for the past two days.,Facilities,High,T_FAC_019
Fire alarm sensor in Block B is sounding continuous false alarms.,Safety,Medium,T_SAF_013
Graffiti scrawled on hallway walls in Block D second floor several people have pointed this out.,Cleanliness,Low,T_CLN_017
HDMI cable attached to the teaching podium in Room 210 is torn.,IT,Low,T_IT_018
Lost black leather wallet containing student identity card and bank cards near library.,Other,Low,T_OTH_001
Ceiling panel near the faculty lounge is sagging heavily and about to fall.,Maintenance,High,T_MNT_005
Severe exhaust fumes leaking into the passenger cabin of bus 4 this has been ongoing since last week.,Transport,High,T_TRN_019
Automatic sliding glass door at the main entrance is stuck half-open.,Maintenance,Medium,T_MNT_013
Shuttle bus driver was operating vehicle recklessly near the pedestrian crossing which is affecting normal activities.,Transport,High,T_TRN_002
Recorded lecture video links on the portal are broken and return 404 causing inconvenience to students and staff.,Academic,Low,T_ACD_016
UPS battery storage cabinet in server room is emitting high-pitched warning sirens.,Electrical,High,T_ELC_007
Instructor was absent without notice for the scheduled 9 AM mathematics lecture observed during the morning class.,Academic,Medium,T_ACD_004
The printer in the student center ran out of toner and paper.,IT,Low,T_IT_006
Software license for MATLAB expired on all machines in Engineering Lab 2 since yesterday morning.,IT,Medium,T_IT_014
Ethernet network port in faculty office 215 is physically loose and broken.,IT,Low,T_IT_012
Attendance record is falsely marking me absent for yesterday's lab session reported earlier today.,Academic,Medium,T_ACD_009
Large tree branch fractured and hanging precariously over student walkway.,Safety,High,T_SAF_017
Heavy duty extension cord in seminar auditorium has frayed burnt rubber insulation.,Electrical,High,T_ELC_013
Lost silver wristwatch in the gymnasium changing room several people have pointed this out.,Other,Low,T_OTH_019
Student health insurance card was not delivered to international freshmen affecting people in the area.,Administration,Medium,T_ADM_012
Metal shutter of the cafeteria supply room is off its alignment track.,Maintenance,Medium,T_MNT_017
Cloud storage drive for final year project repository is inaccessible which is affecting normal activities.,IT,High,T_IT_020
Campus shuttle bus route 2 arrived 45 minutes late during morning pickup causing inconvenience to students and staff.,Transport,Medium,T_TRN_001
Severe voltage fluctuations in Room 401 caused equipment monitors to reset since yesterday morning.,Electrical,Medium,T_ELC_009
Ceiling fan in Room 205 is wobbling dangerously and making grinding metallic sounds.,Electrical,Medium,T_ELC_005
Final exam hall seating arrangement list shows conflicting room numbers for students since yesterday morning.,Academic,High,T_ACD_012
VPN authentication server has been rejecting valid student credentials.,IT,High,T_IT_016
Brown discolored sediment-laden tap water coming out of drinking fountain since yesterday morning.,Plumbing,High,T_PLM_009
Switchboard faceplate in chemistry laboratory is scorched and warm to the touch several people have pointed this out.,Electrical,High,T_ELC_008
Academic scholarship stipend disbursement check has not cleared into student bank account causing inconvenience to students and staff.,Administration,High,T_ADM_005
Severe exhaust fumes leaking into the passenger cabin of bus 4.,Transport,High,T_TRN_019
Bus shelter canopy is leaking water heavily during rainy weather affecting people in the area.,Transport,Low,T_TRN_007
Wall socket switch plate is cracked in dormitory room 112.,Electrical,Low,T_ELC_020
The projector in Lecture Hall A is flickering and won't display slides clearly.,IT,Low,T_IT_003
University transport mobile application is failing to transmit live GPS location.,Transport,Low,T_TRN_008
Overhead water storage tank on Block C roof is overflowing down the exterior wall affecting people in the area.,Plumbing,Medium,T_PLM_015
Partition divider in Seminar Hall 1 is unsteady and rattling.,Maintenance,Low,T_MNT_019
Graduation clearance portal has been rejecting attested valid degree documentation.,Administration,High,T_ADM_014
Feedback regarding food options and dietary variety in campus food stalls.,Other,Low,T_OTH_020
Administration helpdesk staff was uncooperative regarding clearance sign-off this has been ongoing since last week.,Administration,Low,T_ADM_008
Hot water heater system in student residential hostel is completely cold.,Plumbing,Low,T_PLM_006
Attendance record has been falsely marking me absent for yesterday's lab session.,Academic,Medium,T_ACD_009
Roof shingles near the auditorium terrace are loose after strong winds.,Maintenance,Medium,T_MNT_018
Drinking water dispenser on 3rd floor has been dispensing unchilled warm water.,Facilities,Low,T_FAC_003
Hostel accommodation allocation list contains duplicated room numbers observed during the morning class.,Administration,Medium,T_ADM_009
Air conditioning in Lecture Hall 2 stopped working and the room has been overheating.,Maintenance,Medium,T_MNT_003
The biometric attendance scanner at the main gate entrance is completely offline.,IT,High,T_IT_019
The campus wireless signal is completely dead in the science building basement for the past two days.,IT,Medium,T_IT_013
Parking payment kiosk took cash note but did not dispense an exit validation ticket.,Transport,Low,T_TRN_013
Hand sanitizer dispensers throughout the science block are completely dry.,Facilities,Low,T_FAC_018
Only one cashier counter has been operating at student finance resulting in massive queues.,Administration,Low,T_ADM_002
Outdoor landscape watering valve stuck wide open wasting water for the past two days.,Plumbing,Medium,T_PLM_014
Regarding the campus facilities: The desktop computer in Room 108 will not power on at all.,IT,Low,T_IT_011
Severe voltage fluctuations in Room 401 caused equipment monitors to reset.,Electrical,Medium,T_ELC_009
Transport pass renewal counter clerk behaved discourteously to queuing students this has been ongoing since last week.,Administration,Low,T_ADM_016
Late night scheduled shuttle service was cancelled without prior broadcast reported earlier today.,Transport,Medium,T_TRN_009
Power outage in Block B west wing plunged classrooms into total darkness.,Electrical,High,T_ELC_001
Study cubicles in the library have defective desks and dead electrical sockets.,Facilities,Low,T_FAC_002
Recommended textbooks for Engineering Physics are out of stock in the campus library.,Academic,Low,T_ACD_006
Waste drainage pipe under library washbasin is uncoupled and leaking.,Plumbing,Medium,T_PLM_005
Shattered glass shards scattered across the main walkway near the cafeteria.,Safety,Medium,T_SAF_015
Elevator in the Administration building is making grinding noises and jerking abruptly.,Maintenance,High,T_MNT_004
Fire alarm sensor in Block B has been sounding continuous false alarms.,Safety,Medium,T_SAF_013
Oil slick on the workshop floor caused a student to slip and fall heavily.,Safety,High,T_SAF_011
Excessively loud amplified music played late at night from adjacent hostel wing.,Other,Low,T_OTH_009
All computers in Lab 204 are frozen and displaying a blue screen crash error causing inconvenience to students and staff.,IT,High,T_IT_004
Lockers in the biology laboratory cannot be locked securely noticed by several students.,Facilities,Low,T_FAC_017
Found a bunch of keys with a blue lanyard on the wooden bench outside cafeteria for the past two days.,Other,Low,T_OTH_002
Elevator in the Administration building has been making grinding noises and jerking abruptly.,Maintenance,High,T_MNT_004
Central auditorium ventilation system is blowing hot dusty air.,Facilities,Medium,T_FAC_007
Regarding the campus facilities: The printer in the student center ran out of toner and paper.,IT,Low,T_IT_006
Course syllabus and reference material for Data Structures have not been uploaded.,Academic,Low,T_ACD_003
VPN authentication server is rejecting valid student credentials causing inconvenience to students and staff.,IT,High,T_IT_016
Power outage in Block B west wing plunged classrooms into total darkness observed during the morning class.,Electrical,High,T_ELC_001
Water pressure in dormitory showers dropped to a trickle for the past two days.,Plumbing,Low,T_PLM_020
Overhead lighting fixtures in ground floor corridor are dead leaving area dark noticed by several students.,Electrical,Medium,T_ELC_015
Campus parking permit fee was debited twice from my university billing account.,Administration,Medium,T_ADM_010
Bicycle lane along the campus perimeter has been blocked by maintenance machinery.,Transport,Low,T_TRN_017
Student club requesting approval to host blood donation drive in the activity center reported earlier today.,Other,Low,T_OTH_006
Flush cistern mechanism in girls restroom floor 1 running continuously.,Plumbing,Low,T_PLM_007
Restroom near the main cafeteria has not been cleaned since yesterday morning which is affecting normal activities.,Cleanliness,Medium,T_CLN_001
Transcript delivery address was recorded incorrectly by the registrar desk observed during the morning class.,Administration,Medium,T_ADM_019
Disciplinary review notification was issued with mismatched student registration number.,Administration,Medium,T_ADM_006
Administration helpdesk staff was uncooperative regarding clearance sign-off.,Administration,Low,T_ADM_008
Student cafeteria indoor dining hall has been poorly ventilated and stifling hot.,Facilities,Low,T_FAC_004
Lost blue student backpack containing textbooks near the sports ground bleachers affecting people in the area.,Other,Low,T_OTH_015
Campus bicycle sharing station near the library has zero functional bicycles.,Transport,Low,T_TRN_006
Lost blue student backpack containing textbooks near the sports ground bleachers.,Other,Low,T_OTH_015
Drinking water cooler pipe leaking puddle onto wooden library floor causing inconvenience to students and staff.,Plumbing,Medium,T_PLM_019
Vending machine in Block A swallowed card payment without dispensing item.,Facilities,Low,T_FAC_008
Washroom floor is flooded with contaminated water and slippery soap lather.,Cleanliness,High,T_CLN_008
Shuttle driver was texting on phone while operating loaded bus on campus road.,Transport,High,T_TRN_014
Student identity card counter remains shut during official advertised office hours.,Administration,Low,T_ADM_003
Official grade transcript generated on portal contains incorrect marks for Semester 3 several people have pointed this out.,Academic,High,T_ACD_005
Submitting final assignments on the portal produces an internal server 500 error which is affecting normal activities.,IT,High,T_IT_017
Campus parking permit fee was debited twice from my university billing account since yesterday morning.,Administration,Medium,T_ADM_010
Main electrical distribution panel in basement has been producing visible arcing sparks.,Electrical,Critical,T_ELC_010
Noise levels from adjacent corridor disrupt study in the quiet library zone several people have pointed this out.,Academic,Low,T_ACD_018
Campus swimming pool water has been murky green and smells heavily foul.,Facilities,High,T_FAC_010
Late night scheduled shuttle service was cancelled without prior broadcast.,Transport,Medium,T_TRN_009
There is thick smoke coming from an electrical panel near Block A ground floor.,Safety,Critical,T_SAF_001
The door lock in Room 304 is broken and the door cannot latch shut.,Maintenance,Medium,T_MNT_001
Outdoor lamppost base near library pathway has exposed energized wires.,Electrical,Critical,T_ELC_006
The Wi-Fi network keeps disconnecting every few minutes in Computer Lab 3 since yesterday morning.,IT,Medium,T_IT_001
Sewer gases backing up through drainage grates in ground floor corridor.,Plumbing,Medium,T_PLM_012
Found student umbrella near the main entrance turnstiles after morning rain.,Other,Low,T_OTH_012
The biometric attendance scanner at the main gate entrance has been completely offline.,IT,High,T_IT_019
Outdoor transformer unit in courtyard making loud buzzing humming sound this has been ongoing since last week.,Electrical,High,T_ELC_019
Floor tiles in the central corridor are cracked creating an uneven surface.,Maintenance,Medium,T_MNT_011
Academic scholarship stipend disbursement check has not cleared into student bank account.,Administration,High,T_ADM_005
Software license for MATLAB expired on all machines in Engineering Lab 2.,IT,Medium,T_IT_014
Toilet bowl in male restroom Room 102 has been clogged and overflowing onto floor.,Plumbing,High,T_PLM_003
Electric vehicle charging station near Block D displays an error code.,Transport,Low,T_TRN_011
Washroom supply pipe in Block A 2nd floor ruptured spraying pressurized water causing inconvenience to students and staff.,Plumbing,High,T_PLM_002
Janitorial equipment and dirty wash bucket left obstructing corridor doorway affecting people in the area.,Cleanliness,Low,T_CLN_015
Door handle of the rest room on the 3rd floor came off completely.,Maintenance,Low,T_MNT_015
Waste bins near Block A entrance are overflowing with rotting food scraps noticed by several students.,Cleanliness,Low,T_CLN_002
Lost prescription eyewear inside a black protective case near Block A stairwell since yesterday morning.,Other,Low,T_OTH_007
Cloud storage drive for final year project repository has been inaccessible.,IT,High,T_IT_020
Dining tables in cafeteria are coated with sticky spills and food residue observed during the morning class.,Cleanliness,Medium,T_CLN_005
Electric vehicle charging station near Block D displays an error code noticed by several students.,Transport,Low,T_TRN_011
Shuttle bus driver was operating vehicle recklessly near the pedestrian crossing.,Transport,High,T_TRN_002
The printer in the student center ran out of toner and paper noticed by several students.,IT,Low,T_IT_006
Outdoor basketball court floodlights fail to ignite after sunset.,Facilities,Low,T_FAC_013
Corridor wall plaster in Block A is peeling and dropping debris on the floor.,Maintenance,Low,T_MNT_014
Ceiling fan in Room 205 is wobbling dangerously and making grinding metallic sounds affecting people in the area.,Electrical,Medium,T_ELC_005
Accessible disabled parking spaces near reception have been routinely blocked by unauthorized cars.,Transport,Medium,T_TRN_015
Faculty feedback evaluation form link is throwing a session timeout error.,Academic,Medium,T_ACD_008
Hand sanitizer dispensers throughout the science block are completely dry several people have pointed this out.,Facilities,Low,T_FAC_018
Commercial advertising posters pasted across notice boards without permission.,Other,Low,T_OTH_017
Fire alarm sensor in Block B is sounding continuous false alarms reported earlier today.,Safety,Medium,T_SAF_013
Reading desk overhead lamps in library quiet zone have burned out for the past two days.,Facilities,Low,T_FAC_009
Lost scientific calculator left on desk 12 in the engineering design room.,Other,Low,T_OTH_011
Sanitary vending machine in female facility has been empty and jammed.,Facilities,Medium,T_FAC_014
Air conditioning inside university commuter bus 5 is defective.,Transport,Low,T_TRN_003
The door lock in Room 304 is broken and the door cannot latch shut causing inconvenience to students and staff.,Maintenance,Medium,T_MNT_001
Discarded beverage containers and food wrappers strewn across library desks.,Cleanliness,Low,T_CLN_014
Cloud storage drive for final year project repository is inaccessible.,IT,High,T_IT_020
Urinal auto-flush sensor defective resulting in stagnant waste affecting people in the area.,Plumbing,Medium,T_PLM_018
Lecture hall capacity has been 40 seats but 65 students have been enrolled in the course.,Academic,Medium,T_ACD_010
Shower floor drain in hostel room 304 is blocked with pooling stagnant water.,Plumbing,Medium,T_PLM_010
Noise levels from adjacent corridor disrupt study in the quiet library zone.,Academic,Low,T_ACD_018
Lost silver wristwatch in the gymnasium changing room.,Other,Low,T_OTH_019
Gutter downspout cracked and pouring rainwater against laboratory foundation causing inconvenience to students and staff.,Plumbing,Medium,T_PLM_017
Paper re-evaluation submission portal has closed ahead of the officially announced date.,Academic,High,T_ACD_017
Attendance record is falsely marking me absent for yesterday's lab session.,Academic,Medium,T_ACD_009
Window pane in Block C second floor corridor has been cracked and loose.,Maintenance,Medium,T_MNT_002
The biometric attendance scanner at the main gate entrance is completely offline for the past two days.,IT,High,T_IT_019
Dining tables in cafeteria are coated with sticky spills and food residue.,Cleanliness,Medium,T_CLN_005
Transcript delivery address was recorded incorrectly by the registrar desk.,Administration,Medium,T_ADM_019
Campus bicycle sharing station near the library has zero functional bicycles this has been ongoing since last week.,Transport,Low,T_TRN_006
Microphone sound system in Auditorium B is corrupted with heavy static noise since yesterday morning.,IT,Low,T_IT_009
Microwave oven in the cafeteria dining area is sparking inside observed during the morning class.,Facilities,High,T_FAC_012
Sink tap in faculty kitchenette is dripping constantly and won't turn off.,Plumbing,Low,T_PLM_016
Official grade transcript generated on portal contains incorrect marks for Semester 3.,Academic,High,T_ACD_005
Shuttle bus headlamp has been dead on the driver side during night service.,Transport,High,T_TRN_016
Brown discolored sediment-laden tap water coming out of drinking fountain.,Plumbing,High,T_PLM_009
Spelling error in student name printed on degree certificate verification draft.,Academic,High,T_ACD_019
Main circuit breaker tripped in Physics Lab 2 shutting off delicate lab sensors causing inconvenience to students and staff.,Electrical,Medium,T_ELC_004
Student cafeteria indoor dining hall is poorly ventilated and stifling hot.,Facilities,Low,T_FAC_004
Auditorium stage lighting panel emitting burnt plastic smell during rehearsal observed during the morning class.,Electrical,High,T_ELC_016
Heavy dust and cobwebs hanging from the ceiling corners in Room 204 since yesterday morning.,Cleanliness,Low,T_CLN_004
University transport mobile application is failing to transmit live GPS location this has been ongoing since last week.,Transport,Low,T_TRN_008
Campus swimming pool water is murky green and smells heavily foul since yesterday morning.,Facilities,High,T_FAC_010
Balcony protective railing on 4th floor Block C is structurally compromised since yesterday morning.,Safety,Critical,T_SAF_020
CCTV security camera covering the female dormitory entrance is damaged.,Safety,High,T_SAF_012
My learning portal is not displaying registered subjects and exam starts tomorrow morning.,Academic,High,T_ACD_001
Stagnant rainwater puddle in hostel courtyard breeding mosquitoes.,Cleanliness,High,T_CLN_012
Roof shingles near the auditorium terrace are loose after strong winds this has been ongoing since last week.,Maintenance,Medium,T_MNT_018
Hand wash liquid soap dispensers in central restrooms are all empty for the past two days.,Cleanliness,Medium,T_CLN_018
Automatic sliding glass door at the main entrance has been stuck half-open.,Maintenance,Medium,T_MNT_013
Overhead water storage tank on Block C roof has been overflowing down the exterior wall.,Plumbing,Medium,T_PLM_015
Central heating in dormitory blocks during cold weather is non-functional.,Facilities,High,T_FAC_019
Hostel accommodation allocation list contains duplicated room numbers.,Administration,Medium,T_ADM_009
Drinking water cooler pipe leaking puddle onto wooden library floor.,Plumbing,Medium,T_PLM_019
Unattended suspicious package left abandoned near the main entrance lobby since yesterday morning.,Safety,Critical,T_SAF_007
Feedback regarding food options and dietary variety in campus food stalls this has been ongoing since last week.,Other,Low,T_OTH_020
Microphone sound system in Auditorium B is corrupted with heavy static noise.,IT,Low,T_IT_009
Paper re-evaluation submission portal has closed ahead of the officially announced date noticed by several students.,Academic,High,T_ACD_017
Staircase handrail near Block B emergency exit is loose and unstable observed during the morning class.,Maintenance,Medium,T_MNT_007
There is thick smoke coming from an electrical panel near Block A ground floor reported earlier today.,Safety,Critical,T_SAF_001
Shuttle driver was texting on phone while operating loaded bus on campus road since yesterday morning.,Transport,High,T_TRN_014
Stairwell landings in Science Block floor 3 are covered in mud and litter.,Cleanliness,Low,T_CLN_007
Waste drainage pipe under library washbasin has been uncoupled and leaking.,Plumbing,Medium,T_PLM_005
Partition divider in Seminar Hall 1 has been unsteady and rattling.,Maintenance,Low,T_MNT_019
